dist_id,city,district,city_title,dist_title,area_sqm,urban_15_34,rural_15_34,total_15_34,dense_15_34
VNM.5.2_1,BắcNinh,GiaBình,Tỉnh,Huyện,107708676.71916555,2144.0,26590.0,28734.0,267.0
VNM.31.4_1,HưngYên,KimĐộng,Tỉnh,Huyện,104919273.56084295,2660.0,29954.0,32614.0,311.0
VNM.31.6_1,HưngYên,PhùCừ,Tỉnh,Huyện,94682150.86950147,1622.0,18561.0,20183.0,213.0
VNM.28.4_1,HàNam,LýNhân,Tỉnh,Huyện,166741714.76957917,1363.0,44929.0,46292.0,278.0
VNM.57.18_1,ThanhHóa,SầmSơn,Tỉnh,ThànhPhố,44657140.986660294,28038.0,5934.0,33972.0,761.0
VNM.57.10_1,ThanhHóa,NgọcLặc,Tỉnh,Huyện,494020004.59787214,1674.0,40983.0,42657.0,86.0
VNM.57.4_1,ThanhHóa,ĐôngSơn,Tỉnh,Huyện,82393798.18012871,2470.0,19441.0,21911.0,266.0
VNM.57.15_1,ThanhHóa,QuảngXương,Tỉnh,Huyện,176230868.55931124,937.0,58524.0,59461.0,337.0
VNM.46.2_1,QuảngBình,BaĐồn,Tỉnh,ThịXã,162796297.86496407,15058.0,18954.0,34012.0,209.0
VNM.19.3_1,ĐàNẵng,HòaVang,ThànhPhố,Huyện,737603804.1809812,0.0,47228.0,47228.0,64.0
VNM.48.2_1,QuảngNgãi,BìnhSơn,Tỉnh,Huyện,468396444.543148,2156.0,50500.0,52656.0,112.0
VNM.8.7_1,BìnhĐịnh,QuyNhơn,Tỉnh,ThànhPhố,287482098.9938786,81621.0,9132.0,90753.0,316.0
VNM.43.6_1,NinhThuận,ThuậnBắc,Tỉnh,Huyện,317600085.9713362,0.0,15356.0,15356.0,48.0
VNM.11.5_1,BìnhThuận,HàmThuậnNam,Tỉnh,Huyện,1058074463.2075982,4589.0,34210.0,38799.0,37.0
