ward_id,city,district,ward,city_title,dist_title,ward_title,area_sqm,total,urban,rural,pop_density
VNM.40.4.9_1,NamĐịnh,NamĐịnh,MỹXá,Tỉnh,ThànhPhố,Xã,6174377.910688571,20997,,20997.0,3401.0
VNM.40.6.1_1,NamĐịnh,NghĩaHưng,HoàngNam,Tỉnh,Huyện,Xã,10216228.832616588,7887,,7887.0,772.0
VNM.40.9.2_1,NamĐịnh,XuânTrường,XuânBắc,Tỉnh,Huyện,Xã,3185625.4927910045,5933,,5933.0,1862.0
VNM.57.18.2_1,ThanhHóa,SầmSơn,QuảngChâu,Tỉnh,ThànhPhố,Phường,7927575.576364019,9413,9413.0,,1187.0
VNM.57.19.4_1,ThanhHóa,ThạchThành,ThạchCẩm,Tỉnh,Huyện,Xã,32855459.78492572,8741,,8741.0,266.0
VNM.57.6.8_1,ThanhHóa,HàTrung,HàLai,Tỉnh,Huyện,Xã,6943025.537564436,3793,,3793.0,546.0
VNM.57.26.1_1,ThanhHóa,VĩnhLộc,VĩnhAn,Tỉnh,Huyện,Xã,9508497.241255375,3856,,3856.0,406.0
VNM.57.23.3_1,ThanhHóa,ThườngXuân,LuậnThành,Tỉnh,Huyện,Xã,34620655.60673601,6985,,6985.0,202.0
VNM.57.23.6_1,ThanhHóa,ThườngXuân,TânThành,Tỉnh,Huyện,Xã,36879733.865524895,5241,,5241.0,142.0
VNM.57.25.33_1,ThanhHóa,TriệuSơn,VănSơn,Tỉnh,Huyện,Xã,15940431.931410769,6082,,6082.0,382.0
VNM.41.21.36_1,NghệAn,YênThành,ViênThành,Tỉnh,Huyện,Xã,8493519.084212897,7532,,7532.0,887.0
VNM.41.10.16_1,NghệAn,NghiLộc,NghiThạch,Tỉnh,Huyện,Xã,7145229.9635989005,6597,,6597.0,923.0
VNM.31.5.12_1,HưngYên,MỹHào,PhùngChíKiên,Tỉnh,Huyện,Xã,4259087.565041199,6017,,6017.0,1413.0
VNM.42.1.17_1,NinhBình,GiaViễn,GiaVân,Tỉnh,Huyện,Xã,10433721.645981418,6125,,6125.0,587.0
VNM.42.2.1_1,NinhBình,HoaLư,NinhAn,Tỉnh,Huyện,Xã,5574543.054497231,6059,,6059.0,1087.0
VNM.57.27.3_1,ThanhHóa,YênĐịnh,ĐịnhHải,Tỉnh,Huyện,Xã,5832385.489322687,5417,,5417.0,929.0
VNM.41.20.21_1,NghệAn,Vinh,QuánBàu,Tỉnh,ThànhPhố,Phường,2374077.863921737,13652,13652.0,,5750.0
VNM.41.14.13_1,NghệAn,QuỳHợp,LiênHợp,Tỉnh,Huyện,Xã,41604337.03328991,2160,,2160.0,52.0
VNM.41.9.11_1,NghệAn,NamĐàn,NamKim,Tỉnh,Huyện,Xã,19555564.590735164,8581,,8581.0,439.0
VNM.41.4.14_1,NghệAn,DiễnChâu,DiễnKỷ,Tỉnh,Huyện,Xã,6618443.803111566,11055,,11055.0,1670.0
VNM.41.19.3_1,NghệAn,TươngDương,LưỡngMinh,Tỉnh,Huyện,Xã,227876479.47553703,5191,,5191.0,23.0
VNM.57.13.2_1,ThanhHóa,NhưXuân,BìnhLương,Tỉnh,Huyện,Xã,70782562.13491909,2944,,2944.0,42.0
