STORE_ID,STORE_NAME,is_winpay,region,city,district,ward,address,concept,status,date_open,date_close,lat,long
4154,4154- WM+ HCM 197-199 đường số 12,0,South,Ho Chi Minh,Q. Bình Tân,P. Bình Hưng Hòa,197-199 đường số 12 - phường Bình Hưng Hòa - quận Bình Tân - thành phố Hồ Chí Minh - Việt Nam,WiN,Đang hoạt động,2018-12-31 00:00:00,3000-01-01 00:00:00,10.7956,106.604
6448,"6448- WM+ HTH TDP Phú Xuân, Lộc Hà",0,Central,Ha Tinh,H. Lộc Hà,TT. Lộc Hà,"Tổ dân phố Phú Xuân, Thị trấn Lộc Hà, Huyện Lộc Hà, Tỉnh Hà Tĩnh, Việt Nam",Rural,Đang hoạt động,2022-08-31 00:00:00,3000-01-01 00:00:00,18.4594135284424,105.911468505859
4598,4598- WM+ HPG 1171 Trần Nhân Tông,0,North,Hai Phong,Q. Kiến An,P. Văn Đẩu,"1171 Trần Nhân Tông, Phường Văn Đẩu, Q. Kiến An, Thành phố Hải Phòng, Việt Nam",Urban,Đang hoạt động,2019-07-31 00:00:00,3000-01-01 00:00:00,20.8031,106.63
5574,5574- WM+ HNI 2 Kỳ Vũ,0,North,Ha Noi,Q. Bắc Từ Liêm,P. Thượng Cát,"Số 02 Kỳ Vũ, Phường Thượng Cát, Q. Bắc Từ Liêm, Thành phố Hà Nội, Việt Nam",Urban,Đang hoạt động,2020-07-25 00:00:00,3000-01-01 00:00:00,21.0913467407227,105.73267364502
2AZ7,2AZ7- WM+ QNM 82 Phạm Văn Đồng,0,Central,Quang Nam,H. Phước Sơn,TT. Khâm Đức,"82 Phạm Văn Đồng, TT. Khâm Đức, H. Phước Sơn, T. Quảng Nam",Rural,Đang hoạt động,2024-06-21 00:00:00,3000-01-01 00:00:00,15.4396295547485,107.793434143066
4977,4977- WM+ TNN 188 Thống Nhất,0,North,Thai Nguyen,TP. Thái Nguyên,P. Đồng Quang,"188 Thống Nhất, Phường Đồng Quang, Thành phố Thái Nguyên, Tỉnh Thái Nguyên, Việt Nam",Urban,Đang hoạt động,2019-10-30 00:00:00,3000-01-01 00:00:00,21.5787,105.837
6380,6380- WM+ HNI 29 Đường Thành,0,North,Ha Noi,Q. Hoàn Kiếm,P. Cửa Đông,"Số 29 Đường Thành, Phường Cửa Đông, Q. Hoàn Kiếm, Thành phố Hà Nội, Việt Nam",Urban,Đang hoạt động,2022-05-20 00:00:00,3000-01-01 00:00:00,21.0331268310547,105.846260070801
6265,"6265- WM+ VPC TDP Cổ Độ, Bình Xuyên",0,North,Vinh Phuc,H. Bình Xuyên,TT. Gia Khánh,"TDP Cổ Độ, Tt Gia Khánh, Huyện Bình Xuyên, Tỉnh Vĩnh Phúc, Việt Nam",Rural,Đang hoạt động,2022-04-15 00:00:00,3000-01-01 00:00:00,21.3534965515137,105.631980895996
6663,6663- WM+ HNI SH B4 Anland LakeView,0,North,Ha Noi,Q. Hà Đông,P. Dương Nội,"SH B4 tòa CT6B, Khu đô thị mới Dương Nội, Phường Dương Nội, Q. Hà Đông, Thành phố Hà Nội, Việt Nam",Urban,Đang hoạt động,2022-10-30 00:00:00,3000-01-01 00:00:00,20.9841594696045,105.757652282715
6350,6350- WM+ HCM 22 – G4 Đường 53,0,South,Ho Chi Minh,Q. 7,P. Tân Phong,"48 Đường số 53, Khu định cư Tân Quy Đông, KP5, P.Tân Phong, Q.7, TP.HCM",WiN,Đang hoạt động,2022-04-30 00:00:00,3000-01-01 00:00:00,10.7371883392334,106.708236694336
3185,3185- WIN HCM Chung Cư Linh Tây,0,South,Ho Chi Minh,Q. Thủ Đức,P. Linh Tây,TM 1.07 - tầng 1 - khối đế - Khu chung cư kết hợp thương mại (Lô H) - Khu nhà ở phường Linh Tây - quận Thủ Đức - thành phố Hồ Chí Minh - Việt Nam,WiN,Đang hoạt động,2017-10-18 00:00:00,3000-01-01 00:00:00,10.8626,106.759
3592,3592- WM+ DNI 2/11 Khu Phố 4,0,South,Dong Nai,TP. Biên Hòa,P. Trảng Dài,2/11  Khu Phố 4 - phường Trảng Dài - thành phố Biên Hòa - tỉnh Đồng Nai - Việt Nam,WiN,Đang hoạt động,2018-05-23 00:00:00,3000-01-01 00:00:00,10.9926,106.866
