ward_id,city,district,ward,city_title,dist_title,ward_title,area_sqm,urban_1,urban_2,urban_3,urban_4,urban_5,rural_1_2,rural_3,rural_4,rural_5
VNM.15.4.15_1,ĐắkLắk,CưM'gar,QuảngHiệp,Tỉnh,Huyện,Xã,54026946.47372853,,,,,0.0,675.0,604.0,860.0,888.0
VNM.15.4.4_1,ĐắkLắk,CưM'gar,CuorĐăng,Tỉnh,Huyện,Xã,32990434.87520568,,,,,0.0,236.0,444.0,701.0,1103.0
VNM.15.10.5_1,ĐắkLắk,KrôngBúk,EaSin,Tỉnh,Huyện,Xã,63468983.372160345,,,,,0.0,209.0,161.0,233.0,213.0
VNM.15.11.8_1,ĐắkLắk,KrôngNăng,EaTóh,Tỉnh,Huyện,Xã,38755115.16369037,,,,,0.0,578.0,590.0,980.0,1094.0
VNM.15.11.5_1,ĐắkLắk,KrôngNăng,EaPuk,Tỉnh,Huyện,Xã,42629435.12004953,,,,,0.0,147.0,229.0,418.0,430.0
VNM.15.11.4_1,ĐắkLắk,KrôngNăng,EaHồ,Tỉnh,Huyện,Xã,40693615.710082024,,,,,0.0,377.0,524.0,851.0,1159.0
VNM.15.6.8_1,ĐắkLắk,EaKar,EaKar,Tỉnh,Huyện,ThịTrấn,25013229.986863233,167.0,566.0,913.0,1121.0,957.0,0.0,,,0.0
VNM.15.6.9_1,ĐắkLắk,EaKar,EaKmút,Tỉnh,Huyện,Xã,30000214.463732507,,,,,0.0,1130.0,792.0,900.0,618.0
VNM.15.14.8_1,ĐắkLắk,M'Đrắk,EaPil,Tỉnh,Huyện,Xã,82983923.90084018,,,,,0.0,407.0,378.0,551.0,459.0
VNM.15.14.2_1,ĐắkLắk,M'Đrắk,CưM'ta,Tỉnh,Huyện,Xã,52545765.940469086,,,,,0.0,324.0,361.0,407.0,542.0
VNM.15.12.2_1,ĐắkLắk,KrôngPắc,EaKênh,Tỉnh,Huyện,Xã,45905438.346148655,,,,,0.0,669.0,615.0,848.0,928.0
VNM.15.8.5_1,ĐắkLắk,KrôngANa,DurKMăl,Tỉnh,Huyện,Xã,70082548.28840779,,,,,0.0,339.0,356.0,463.0,539.0
VNM.15.13.6_1,ĐắkLắk,Lắk,ĐắkPhơi,Tỉnh,Huyện,Xã,140832234.0820731,,,,,0.0,128.0,198.0,344.0,785.0
VNM.15.3.4_1,ĐắkLắk,CưKuin,EaHu,Tỉnh,Huyện,Xã,26404118.454599395,,,,,0.0,561.0,532.0,638.0,614.0
VNM.16.2.2_1,ĐắkNông,ĐắkMil,ĐắkLao,Tỉnh,Huyện,Xã,251465734.99525267,,,,,0.0,445.0,474.0,585.0,593.0
